0x1a3e9f08eb,set_crs36_tournament_table
0x1a23d8b77c,set_crs39_order_masterside
0x14d95fdb72,set_d01_mr_maintheme
0x1219bbfce7,set_d02_mr_norfair
0x1150879ec7,set_d03_mr_ending
0x14ffd4e3d5,set_d04_smr_vsridley
0x1c123199ba,set_d05_smr_samusarannotheme
0x13d4dbb2f8,set_d06_fsn_sector1
0x1928799719,set_d07_prm_opnening_menu
0x183e8760d8,set_d09_prm_vsmetaridley
0x16b14c5815,set_d10_prm2_multiplay
0x107e2a8cfa,set_d11_mr_title
0x13cdd859b5,set_d12_mr_dasshutu
0x16b771e1e4,set_d13_pht_psychobits
0x1bbd9b81d0,set_d14_otm_yougangyobattle
0x20f3c1e437,set_d15_otm_hanyoutojikomebattle
0x181aad1b08,set_d16_otm_ridleybattle
0x1bc20512a1,set_d17_prm_vsparasitequeen
0x146cdaa910,set_d18_smr_vsridley
0x19021a722e,set_d19_mr_brinstarshinbu
0x1867b8a5e3,set_d20_pff_splashscreen
0x1218625d47,set_d21_srt_result
0x192c04911c,set_d22_srt_areabgmnettai
0x1730430d96,set_d23_srt_zetametroid
0x1ba2162a9b,set_dq01_dq11_hirumanuyuuki
0x1a5a67542e,set_dq02_dq11_yuushahayuku
0x1a71ef2cd8,set_dq03_dq3_sentounotheme
0x19da2c9866,set_dq04_dq3_boukennotabi
0x13f19874bf,set_dq05_dq4_sentou
0x19febd0bcd,set_dq06_dq4_bashanomarch
0x1b0b6c3cdd,set_dq07_dq8_otakebiwoagete
0x1d0f1f190a,set_dq08_dq8_daiheigennomarch
0x12573d6c2b,set_e01_str_ending
0x14864599ea,set_e02_ild_athletic
0x231b870e8a,set_e02a_ild_athletic_spring_summer
0x239987ee63,set_e02b_ild_athletic_autumn_winter
0x1ff24a9f71,set_e02c_ild_athletic_scenelink
0x17e96ce811,set_e03_ild_yoshiisland
0x17b3847195,set_e05_cty_ohanabatake
0x199d715ec5,set_e06_ilds_kouyanotheme
0x14168f4f8e,set_e07_ild_stage1_1
0x187030bf64,set_e08_kny_keitonoyoshi
0x1643b635f0,set_e09_nild_maintheme
0x1241928476,set_e10_nild_gypsy
0x1ade66c081,set_e11_wol_yoshiwoolworld
0x169ecbd50e,set_e12_nild_maintheme
0x1a69012bad,set_f01_air_airridemachine
0x1b3a1e46b1,set_f02_kby_dededeounotheme
0x1b95b0d510,set_f03_kby_bossthememedley
0x1a1729ceb6,set_f04_yim_butterbuilding
0x20e9aad863,set_f05_sdx_gekitotsugourmetrace
0x21c4b99646,set_f06_sdx_metaknightnogyakushuu
0x12fc37df35,set_f07_sdx_vsmarx
0x185c20b959,set_f08_kby64_zerotwosen
0x1105aab038,set_f11_air_colda
0x1dafaf7744,set_f12_sdd_dorochedannotheme
0x1c31981f8e,set_f13_kby_greengreens_ver2
0x1a1b117988,set_f14_kby_gb_greengreens
0x25d6054b47,set_f14a_kby_gb_greengreens_scenelink
0x1bc1f272a4,set_f15_kby_gb_castlelololo
0x1bc0b042d1,set_f16_kby_gb_floatislands
0x1b7e5e3862,set_f17_kby_gb_bubblyclouds
0x17bfed2185,set_f18_kby_gb_mtdedede
0x1a3ea24b85,set_f19_yim_butterbuilding
0x1e12cf9a58,set_f20_sdx_dedededaiounotheme
0x1edd316d48,set_f21_sdx_doukutsudaisakusen
0x1a6b87498f,set_f22_knd_morishizenarea
